Order_ID,Gender_Category,Product_Line,Product_Name,Size,Units_Sold,MRP,Discount_Applied,Revenue,Order_Date,Sales_Channel,Region,Profit,Month_Year,Year,Month_Number,Month_Name
2000,Kids,Training,SuperRep Go,M,0,0.00,0.47,0.00,2024-03-09,Online,Bangalore,-770.45,2024-03,2024,3,Mar
2001,Women,Soccer,Tiempo Legend,M,3,4957.93,0.00,0.00,2024-07-09,Retail,Hyderabad,-112.53,2024-07,2024,7,Jul
2003,Kids,Lifestyle,Blazer Mid,L,0,9673.57,0.00,0.00,2024-04-10,Online,Pune,3376.85,2024-04,2024,4,Apr
2004,Kids,Running,React Infinity,XL,0,0.00,0.00,0.00,2024-09-12,Retail,Delhi,187.89,2024-09,2024,9,Sep
2006,Men,Training,SuperRep Go,M,0,6819.78,0.00,0.00,2025-04-06,Online,Bangalore,1802.09,2025-04,2025,4,Apr
2008,Women,Soccer,Premier III,11,0,0.00,0.00,0.00,2024-11-10,Online,Hyderabad,-731.18,2024-11,2024,11,Nov
2010,Kids,Lifestyle,Waffle One,L,1,7949.83,0.00,0.00,2025-01-16,Online,Pune,1965.56,2025-01,2025,1,Jan
2018,Kids,Lifestyle,Blazer Mid,Unknown,0,0.00,0.86,0.00,2024-11-13,Online,Delhi,2109.48,2024-11,2024,11,Nov
2013,Kids,Training,SuperRep Go,Unknown,0,9671.05,0.00,0.00,2024-09-19,Online,Hyderabad,299.34,2024-09,2024,9,Sep
2014,Women,Running,React Infinity,11,0,0.00,0.00,0.00,2025-04-12,Online,Bangalore,-1044.40,2025-04,2025,4,Apr
2015,Kids,Basketball,Air Jordan,Unknown,0,3285.52,0.00,0.00,2025-05-31,Retail,Kolkata,1193.21,2025-05,2025,5,May
2017,Women,Basketball,Air Jordan,9,4,0.00,0.00,0.00,2025-03-17,Retail,Delhi,1946.24,2025-03,2025,3,Mar
2019,Kids,Running,Air Zoom,6,0,3424.06,0.32,0.00,2025-01-17,Online,Hyderabad,1915.24,2025-01,2025,1,Jan
2020,Kids,Soccer,Tiempo Legend,L,0,0.00,0.67,0.00,2025-03-28,Retail,Mumbai,439.96,2025-03,2025,3,Mar
2021,Men,Running,Free RN,L,0,7086.70,0.66,0.00,2024-11-19,Retail,Hyderabad,-1120.49,2024-11,2024,11,Nov
2022,Women,Soccer,Premier III,M,0,0.00,0.00,0.00,2024-09-24,Online,Pune,3427.16,2024-09,2024,9,Sep
2023,Men,Lifestyle,Waffle One,M,0,5003.95,0.00,0.00,2025-10-01,Online,Mumbai,1498.37,2025-10,2025,10,Oct
2024,Kids,Training,SuperRep Go,XL,0,0.00,0.50,0.00,2024-12-28,Retail,Bangalore,1842.35,2024-12,2024,12,Dec
2026,Kids,Lifestyle,Blazer Mid,XL,1,0.00,0.16,0.00,2024-08-10,Retail,Kolkata,2301.64,2024-08,2024,8,Aug
2029,Men,Training,ZoomX Invincible,12,0,0.00,0.00,0.00,2023-10-28,Online,Bangalore,-185.67,2023-10,2023,10,Oct
2030,Men,Soccer,Phantom GT,XL,0,0.00,1.00,0.00,2025-07-14,Retail,Hyderabad,-122.93,2025-07,2025,7,Jul
2031,Men,Soccer,Premier III,Unknown,4,3493.04,0.82,2514.99,2024-05-09,Online,Delhi,350.70,2024-05,2024,5,May
2032,Women,Lifestyle,Blazer Mid,XL,1,0.00,1.00,0.00,2025-11-04,Retail,Mumbai,-555.16,2025-11,2025,11,Nov
2034,Men,Basketball,Air Jordan,6,0,6235.71,0.00,0.00,2025-04-30,Retail,Delhi,-267.37,2025-04,2025,4,Apr
2035,Kids,Basketball,Zoom Freak,Unknown,4,0.00,0.38,0.00,2024-11-17,Online,Bangalore,2914.83,2024-11,2024,11,Nov
2036,Men,Training,Metcon 7,Unknown,3,0.00,0.00,0.00,2025-02-15,Retail,Bangalore,-143.80,2025-02,2025,2,Feb
2039,Women,Training,Flex Trainer,M,0,2767.70,0.63,0.00,2025-04-22,Retail,Hyderabad,-336.30,2025-04,2025,4,Apr
2041,Kids,Soccer,Tiempo Legend,12,0,5553.88,0.00,0.00,2025-03-05,Online,Hyderabad,2371.66,2025-03,2025,3,Mar
2042,Women,Basketball,Kyrie Flytrap,L,0,0.00,0.00,0.00,2025-04-19,Online,Hyderabad,-862.16,2025-04,2025,4,Apr
2043,Men,Soccer,Premier III,XL,0,3492.89,0.77,0.00,2024-05-02,Retail,Delhi,3770.75,2024-05,2024,5,May
2044,Kids,Training,SuperRep Go,Unknown,0,0.00,0.00,0.00,2023-09-06,Online,Delhi,2174.71,2023-09,2023,9,Sep
2045,Kids,Lifestyle,Dunk Low,XL,4,0.00,0.00,0.00,2025-04-06,Retail,Delhi,1833.94,2025-04,2025,4,Apr
2047,Women,Training,SuperRep Go,10,1,8577.75,0.00,0.00,2024-06-13,Retail,Bangalore,2888.68,2024-06,2024,6,Jun
2048,Women,Basketball,Air Jordan,XL,0,0.00,0.00,0.00,2024-10-27,Online,Bangalore,2875.86,2024-10,2024,10,Oct
2051,Women,Basketball,Air Jordan,XL,0,0.00,0.37,0.00,2024-01-05,Retail,Delhi,3135.98,2024-01,2024,1,Jan
2052,Men,Training,Flex Trainer,10,3,9155.96,0.00,0.00,2024-10-08,Retail,Pune,2184.80,2024-10,2024,10,Oct
2053,Men,Lifestyle,Air Force 1,XL,3,6009.58,0.00,0.00,2024-10-02,Online,Delhi,3384.92,2024-10,2024,10,Oct
2054,Women,Training,Flex Trainer,11,0,0.00,0.00,0.00,2025-06-23,Online,Mumbai,-549.76,2025-06,2025,6,Jun
2055,Men,Basketball,Kyrie Flytrap,L,0,0.00,0.00,0.00,2024-10-26,Online,Hyderabad,-1078.76,2024-10,2024,10,Oct
2056,Men,Running,React Infinity,L,3,0.00,0.00,0.00,2024-05-31,Retail,Bangalore,-244.44,2024-05,2024,5,May
2059,Kids,Soccer,Phantom GT,Unknown,0,9507.54,0.00,0.00,2023-12-27,Retail,Delhi,291.28,2023-12,2023,12,Dec
2060,Men,Lifestyle,Waffle One,L,2,7979.26,0.00,0.00,2024-07-11,Online,Bangalore,2821.59,2024-07,2024,7,Jul
2061,Women,Basketball,LeBron 20,L,0,0.00,0.00,0.00,2024-10-09,Online,Mumbai,-501.68,2024-10,2024,10,Oct
2062,Men,Basketball,Air Jordan,Unknown,2,0.00,0.00,0.00,2025-06-06,Online,Bangalore,1823.91,2025-06,2025,6,Jun
2063,Women,Basketball,Air Jordan,M,1,9751.00,0.16,8190.84,2024-06-09,Retail,Pune,1130.31,2024-06,2024,6,Jun
2064,Kids,Running,React Infinity,L,2,7557.71,0.00,0.00,2025-03-02,Online,Bangalore,3277.44,2025-03,2025,3,Mar
2065,Women,Lifestyle,Waffle One,10,0,0.00,0.78,0.00,2024-02-11,Retail,Hyderabad,21.58,2024-02,2024,2,Feb
2066,Men,Soccer,Phantom GT,XL,0,5259.05,0.00,0.00,2024-12-10,Online,Mumbai,1022.82,2024-12,2024,12,Dec
2067,Kids,Basketball,LeBron 20,L,4,3588.38,0.00,0.00,2025-06-05,Online,Kolkata,161.50,2025-06,2025,6,Jun
2068,Men,Running,Free RN,Unknown,4,2553.29,0.00,0.00,2024-12-05,Retail,Mumbai,984.90,2024-12,2024,12,Dec
2069,Women,Training,SuperRep Go,Unknown,0,7502.24,0.00,0.00,2025-07-14,Online,Pune,3554.58,2025-07,2025,7,Jul
2071,Kids,Lifestyle,Blazer Mid,M,3,7849.81,0.49,12010.21,2025-01-12,Retail,Pune,-882.96,2025-01,2025,1,Jan
2073,Women,Lifestyle,Blazer Mid,12,4,0.00,0.85,0.00,2024-03-11,Online,Hyderabad,443.86,2024-03,2024,3,Mar
2075,Kids,Basketball,Air Jordan,L,4,4251.74,0.00,0.00,2025-07-14,Online,Pune,2345.35,2025-07,2025,7,Jul
2076,Women,Training,ZoomX Invincible,11,0,0.00,0.00,0.00,2024-10-13,Retail,Bangalore,2011.25,2024-10,2024,10,Oct
2077,Men,Training,ZoomX Invincible,L,0,0.00,0.00,0.00,2023-11-21,Online,Pune,3332.66,2023-11,2023,11,Nov
2079,Men,Running,Pegasus Turbo,XL,0,4322.06,0.00,0.00,2025-01-19,Online,Bangalore,279.78,2025-01,2025,1,Jan
2080,Men,Lifestyle,Blazer Mid,L,0,0.00,0.00,0.00,2025-03-31,Online,Bangalore,-1005.89,2025-03,2025,3,Mar
2083,Men,Running,Free RN,Unknown,0,9291.74,0.00,0.00,2024-10-14,Retail,Delhi,-981.21,2024-10,2024,10,Oct
2084,Men,Training,Metcon 7,M,2,0.00,0.00,0.00,2023-12-24,Online,Mumbai,408.39,2023-12,2023,12,Dec
2085,Men,Basketball,Kyrie Flytrap,Unknown,0,7561.85,0.00,0.00,2024-12-17,Retail,Kolkata,98.72,2024-12,2024,12,Dec
2086,Men,Soccer,Mercurial Superfly,L,0,0.00,0.45,0.00,2024-10-11,Online,Kolkata,1742.66,2024-10,2024,10,Oct
2087,Kids,Basketball,Zoom Freak,Unknown,0,4656.28,0.00,0.00,2024-11-01,Online,Kolkata,3777.50,2024-11,2024,11,Nov
2088,Women,Running,Free RN,XL,4,0.00,0.00,0.00,2025-04-26,Online,Bangalore,2702.93,2025-04,2025,4,Apr
2089,Women,Training,Flex Trainer,L,2,6874.77,0.60,5499.82,2024-02-12,Online,Mumbai,-1076.66,2024-02,2024,2,Feb
2094,Kids,Training,Flex Trainer,10,1,4276.36,0.00,0.00,2024-10-11,Retail,Delhi,2974.58,2024-10,2024,10,Oct
2095,Men,Lifestyle,Waffle One,M,0,0.00,0.00,0.00,2024-10-16,Online,Delhi,880.57,2024-10,2024,10,Oct
2096,Men,Running,Pegasus Turbo,XL,2,0.00,0.00,0.00,2024-12-24,Online,Kolkata,288.66,2024-12,2024,12,Dec
2098,Men,Training,ZoomX Invincible,L,0,5690.69,0.69,0.00,2024-01-24,Online,Hyderabad,98.30,2024-01,2024,1,Jan
2099,Kids,Soccer,Mercurial Superfly,M,2,0.00,0.32,0.00,2025-01-02,Retail,Mumbai,360.97,2025-01,2025,1,Jan
2100,Kids,Soccer,Phantom GT,8,1,5937.52,0.00,0.00,2025-07-11,Retail,Mumbai,2287.57,2025-07,2025,7,Jul
2101,Kids,Running,Free RN,XL,0,2010.07,0.00,0.00,2025-07-03,Online,Hyderabad,3398.01,2025-07,2025,7,Jul
2102,Women,Soccer,Mercurial Superfly,XL,0,0.00,0.77,0.00,2025-10-04,Online,Pune,284.17,2025-10,2025,10,Oct
2103,Women,Basketball,LeBron 20,XL,0,6777.88,0.00,0.00,2025-01-08,Online,Kolkata,469.61,2025-01,2025,1,Jan
2105,Kids,Training,Metcon 7,Unknown,2,5744.70,0.00,0.00,2024-11-17,Retail,Mumbai,1716.04,2024-11,2024,11,Nov
2107,Women,Running,React Infinity,M,4,0.00,0.00,0.00,2024-08-30,Online,Hyderabad,-184.69,2024-08,2024,8,Aug
2108,Kids,Lifestyle,Air Force 1,XL,0,0.00,0.27,0.00,2024-11-15,Retail,Mumbai,-338.77,2024-11,2024,11,Nov
2109,Kids,Basketball,Zoom Freak,M,0,0.00,0.00,0.00,2025-01-29,Retail,Kolkata,3791.88,2025-01,2025,1,Jan
2110,Kids,Running,Air Zoom,12,1,0.00,0.42,0.00,2024-12-25,Retail,Pune,-259.29,2024-12,2024,12,Dec
2111,Men,Lifestyle,Waffle One,Unknown,0,0.00,1.00,0.00,2024-11-21,Retail,Bangalore,1326.67,2024-11,2024,11,Nov
2113,Women,Basketball,Air Jordan,XL,0,3939.34,0.00,0.00,2023-12-19,Retail,Pune,2918.93,2023-12,2023,12,Dec
2116,Women,Basketball,LeBron 20,Unknown,0,4038.32,1.00,0.00,2024-08-27,Online,Hyderabad,2088.55,2024-08,2024,8,Aug
2117,Women,Training,SuperRep Go,L,0,7645.96,0.00,0.00,2024-10-30,Online,Pune,2037.43,2024-10,2024,10,Oct
2118,Kids,Basketball,Zoom Freak,XL,2,8426.54,0.00,0.00,2023-09-21,Online,Hyderabad,2696.85,2023-09,2023,9,Sep
2119,Women,Training,Metcon 7,11,0,0.00,0.41,0.00,2025-05-04,Retail,Kolkata,2887.81,2025-05,2025,5,May
2120,Men,Soccer,Phantom GT,12,0,0.00,0.00,0.00,2024-12-14,Retail,Pune,-328.00,2024-12,2024,12,Dec
2123,Men,Running,Air Zoom,L,0,0.00,0.00,0.00,2024-09-15,Retail,Hyderabad,2195.52,2024-09,2024,9,Sep
2124,Kids,Basketball,Kyrie Flytrap,L,0,6436.11,1.00,0.00,2025-04-07,Online,Kolkata,432.04,2025-04,2025,4,Apr
